parameter_id,frequency_band,variable,TO,FROM,NET,average_TCI
P1_H10_S1,long_term,r_ai,34.04000457528347,28.209881949001062,5.830122626282409,24.166347466034132
P1_H10_S1,long_term,r_coal,36.359605160558885,24.03387205959457,12.325733100964309,24.166347466034132
P1_H10_S1,long_term,r_electricity,25.98628778884155,26.97571111147943,-0.9894233226378788,24.166347466034132
P1_H10_S1,long_term,r_gas,10.065723893863542,15.334567617006824,-5.2688437231432825,24.166347466034132
P1_H10_S1,long_term,r_gold,18.907272152179655,22.9269170973251,-4.019644945145447,24.166347466034132
P1_H10_S1,long_term,r_wti,19.639191225477692,27.517134961797804,-7.87794373632011,24.166347466034132
P1_H10_S1,medium_term,r_ai,34.941093711699914,28.89437539969939,6.046718312000524,24.468807596698348
P1_H10_S1,medium_term,r_coal,35.63576294951241,25.653919042100544,9.981843907411868,24.468807596698348
P1_H10_S1,medium_term,r_electricity,26.708196184108488,27.167017691752182,-0.4588215076436968,24.468807596698348
P1_H10_S1,medium_term,r_gas,10.012539543852856,14.915737949496757,-4.903198405643901,24.468807596698348
P1_H10_S1,medium_term,r_gold,19.08814779569175,23.10387102633613,-4.01572323064438,24.468807596698348
P1_H10_S1,medium_term,r_wti,20.427105395324652,27.077924470805065,-6.650819075480414,24.468807596698348
P1_H10_S1,short_term,r_ai,35.00548044886594,31.0370098605382,3.9684705883277407,23.923216144188416
P1_H10_S1,short_term,r_coal,29.08112594242982,31.78311897056091,-2.7019930281310884,23.923216144188416
P1_H10_S1,short_term,r_electricity,28.523845249471844,25.878327544159973,2.6455177053118697,23.923216144188416
P1_H10_S1,short_term,r_gas,9.194515951115074,12.52669305600659,-3.3321771048915148,23.923216144188416
P1_H10_S1,short_term,r_gold,19.58804546741467,22.581788416351916,-2.9937429489372454,23.923216144188416
P1_H10_S1,short_term,r_wti,22.146283805833157,19.73235901751292,2.4139247883202373,23.923216144188416
P1_H10_S2,long_term,r_ai,33.98268272173399,28.183457249437435,5.799225472296548,24.150513419568373
P1_H10_S2,long_term,r_coal,36.38163271480668,23.967325282936137,12.414307431870538,24.150513419568373
P1_H10_S2,long_term,r_electricity,25.951604978206394,26.967015881761107,-1.0154109035547134,24.150513419568373
