date,ai_electricity,ai_coal,ai_gas,ai_wti,ai_gold,electricity_coal,electricity_gas,electricity_wti,electricity_gold,coal_gas,coal_wti,coal_gold,gas_wti,gas_gold,wti_gold
2020-01-06,11.000139316096007,10.050152796056143,23.03121047694623,-7.3259103757199,40.18109938575489,-0.9499865200398645,12.031071160850225,-18.326049691815907,29.18096006965888,12.981057680890089,-17.376063171776043,30.130946589698745,-30.35712085266613,17.149888908808656,47.50700976147479
2020-01-07,9.770506917840763,13.178394899381832,10.35031884465688,-4.87740478545248,38.45964880771123,3.4078879815410694,0.5798119268161166,-14.647911703293243,28.689141889870466,-2.828076054724953,-18.055799684834312,25.281253908329397,-15.22772363010936,28.10932996305435,43.33705359316371
2020-01-08,6.944862374486785,8.662434800668276,62.70302151345768,27.708130193984424,73.44026994421267,1.7175724261814906,55.758159138970896,20.76326781949764,66.4954075697259,54.040586712789406,19.045695393316148,64.77783514354441,-34.994891319473254,10.737248430755002,45.73213975022826
2020-01-09,8.416785678106432,5.755618415967785,61.027557676539125,21.504528466029278,71.84105416910832,-2.6611672621386475,52.610771998432696,13.087742787922846,63.42426849100188,55.271939260571344,15.748910050061493,66.08543575314053,-39.52302921050985,10.813496492569193,50.33652570307904
2020-01-10,8.222992590041038,8.462232470605485,61.57857495301761,20.93857004975107,72.05497283134423,0.23923988056444756,53.35558236297657,12.715577459710033,63.83198024130319,53.11634248241212,12.476337579145586,63.592740360738745,-40.64000490326654,10.476397878326623,51.11640278159316
2020-01-13,24.663707773719118,21.96684014803754,60.27115731599491,18.707374430519366,82.48282724001302,-2.696867625681577,35.607449542275795,-5.956333343199752,57.8191194662939,38.30431716795737,-3.259465717518175,60.515987091975475,-41.56378288547555,22.211669924018103,63.77545280949365
2020-01-14,11.036089334198547,9.00570092133011,61.286035865229294,26.663861585906425,76.46787240193885,-2.0303884128684366,50.249946531030744,15.627772251707878,65.4317830677403,52.280334943899184,17.658160664576315,67.46217148060873,-34.62217427932287,15.181836536709547,49.80401081603242
2020-01-15,10.946632517032704,16.004088515025884,67.031856198604,12.197631410538147,62.59517074001306,5.057455997993181,56.08522368157129,1.250998893505443,51.648538222980356,51.02776768357811,-3.8064571044877376,46.591082224987176,-54.83422478806585,-4.4366854585909365,50.39753932947491
2020-01-16,8.232443049164633,4.953514280113421,59.87100497882796,9.880102222875152,57.366809816650566,-3.2789287690512126,51.638561929663325,1.6476591737105188,49.13436676748593,54.917490698714545,4.926587942761731,52.41329553653715,-49.99090275595281,-2.504195162177396,47.486707593775414
2020-01-17,6.353785942161604,12.331785694742898,63.60726833702766,20.812026256614853,61.79673887939112,5.977999752581294,57.253482394866055,14.45824031445325,55.44295293722952,51.275482642284764,8.480240561871955,49.46495318464822,-42.795242080412805,-1.810529457636541,40.98471262277627
2020-01-22,2.8490551221411984,12.161903639191486,63.42027633084399,21.84373109275501,60.0609385811516,9.312848517050288,60.571221208702795,18.994675970613812,57.21188345901041,51.258372691652504,9.681827453563525,47.89903494196012,-41.57654523808898,-3.3593377496923864,38.217207488396596
2020-01-23,-0.025991164533859745,12.843073498867184,65.22188401405688,27.003024877991216,61.926702405818965,12.869064663401044,65.24787517859075,27.029016042525075,61.95269357035282,52.3788105151897,14.159951379124031,49.08362890695178,-38.21885913606567,-3.295181608237918,34.92367752782775
2020-01-24,8.351621487573151,11.791826514006871,65.91454801331798,28.34798467901457,59.932825619880205,3.44020502643372,57.562926525744835,19.996363191441418,51.58120413230706,54.12272149931111,16.556158165007698,48.140999105873334,-37.56656333430342,-5.981722393437778,31.58484094086564
