date,TCI,TO_r_ai,FROM_r_ai,NET_r_ai,TO_r_electricity,FROM_r_electricity,NET_r_electricity,TO_r_coal,FROM_r_coal,NET_r_coal,TO_r_gas,FROM_r_gas,NET_r_gas,TO_r_wti,FROM_r_wti,NET_r_wti,TO_r_gold,FROM_r_gold,NET_r_gold
2020-01-06,58.21686897503019,89.47393891758108,63.82837505120329,25.645563866377792,62.61126586261998,58.9659806284342,3.6452852341857778,61.598222387826,56.05296411356049,5.545258274265507,34.65570771593215,55.072564803446824,-20.41685708751467,92.22626354608441,51.92887892826682,40.29738461781759,8.735815420137552,63.45245032526954,-54.71663490513198
2020-01-07,58.91467260790576,86.12670537497502,63.83288381359561,22.29382156137941,62.82835448539199,60.075546759694106,2.7528077256978847,54.31920973314802,58.382177970532275,-4.062968237384254,50.82771488341009,49.23453101134444,1.5931838720656515,86.18521359900375,54.136582466719375,32.04863113228437,13.200837571505685,67.82631362554874,-54.62547605404305
2020-01-08,73.96414809686961,126.11139321570728,66.29182027343734,59.81957294226994,104.50003908527536,58.57019089197899,45.92984819329637,103.1455500762104,60.65084673527701,42.49470334093339,25.20801150612882,90.79448159077423,-65.58647008464541,75.31291655828052,70.90960400397942,4.403312554301095,9.506978139615203,96.56794508577062,-87.06096694615542
2020-01-09,73.53201998903764,123.04835630056823,66.86650816531791,56.18184813525032,100.60896459286883,61.260687813831375,39.348276779037455,104.40206958715864,59.731458283843885,44.67061130331475,24.524637285923383,90.39790450375132,-65.87326721782793,79.66785126025582,66.49506005706405,13.172791203191764,8.940240907450914,96.44050111041723,-87.50026020296632
2020-01-10,72.94174863714568,122.98901769441504,65.90323672949523,57.085780964919806,100.91452236937981,60.27472658454208,40.63979578483773,99.42531545011299,59.263999426404155,40.161316023708835,24.65375226524765,90.72512120636306,-66.07136894111541,80.66133263162419,65.45269176620653,15.208640865417664,9.006551412094469,96.03071610986312,-87.02416469776865
2020-01-13,79.65835926850228,138.5348913752529,69.17092240582491,69.36396896942799,92.11739899760828,72.08084557561853,20.03655342198975,101.20961363567889,75.77932496232599,25.430288673352905,38.86464089313152,90.04298655569336,-51.17834566256184,103.12369098850729,71.17447088011804,31.949220108389255,4.099919720834749,99.7016052314328,-95.60168551059805
2020-01-14,75.2714935528835,129.38478417015088,67.89826413394981,61.48652003620107,100.15055356665937,60.73621219885539,39.41434136780398,103.47373101898027,59.99861282543942,43.47511819354085,31.43583733320992,92.52138902746744,-61.08555169425752,82.93941167726598,74.78061481287776,8.158796864388222,4.24464355103449,95.6938683187111,-91.44922476767661
2020-01-15,71.69666867804395,123.25544137930183,66.9969815855639,56.25845979373793,94.84783588775132,60.4826411280788,34.36519475967252,88.41372564452273,64.16344288083657,24.250282763686158,19.15013043701153,96.95538304048159,-77.80525260347007,94.65394872894704,62.79075175628541,31.863196972661633,9.858929990729287,78.79081167701747,-68.9318816862882
2020-01-16,69.47663357835,115.58463031668215,68.8166722008049,46.76795811587725,87.25202543001116,56.948953412463176,30.303072017547983,96.90747660304471,60.046547047394306,36.86092955565041,21.177442054734286,94.15149389651296,-72.97405184177867,86.07563368885585,59.0678800187289,27.007753670126945,9.862593376771828,77.82825489419571,-67.96566151742388
2020-01-17,70.38374983978889,122.90754802863772,67.94034632532501,54.96720170331271,99.46721952523274,57.20758970624323,42.2596298189895,95.88702554942469,65.58339523559778,30.303630313826915,21.36146182065939,93.608796791402,-72.24733497074261,72.87521810608887,59.53206891600586,13.343149190083004,9.804026008689853,78.43030206415939,-68.62627605546953
2020-01-22,70.39989041848686,121.09759881034392,67.65229722164949,53.445301588694434,104.78924399551136,57.04205265109932,47.74719134441204,94.96762664506171,65.84613233475025,29.121494310311462,20.357071106050945,93.75232217904448,-73.39525107299355,71.95566079410102,62.19782139091661,9.757839403184413,9.232141159852315,75.90871673346109,-66.67657557360877
2020-01-23,69.20682164675557,121.57728458305716,65.9210533723237,55.656231210733466,111.87447718947116,56.16626364966998,55.708213539801186,92.00531674706288,62.03523253406378,29.970084212999097,19.924097725904893,94.7116345432852,-74.7875368173803,59.82835213714816,58.17817068239712,1.650181454751035,10.031401497889139,78.2285750987936,-68.19717360090446
