model_order,distribution,convergence,dcc_a,dcc_b,a_plus_b,loglik,AIC,BIC,positive_definite_failures,failure_reason
"(3,3)",normal,True,0.015129578555394317,0.9543823815606185,0.9695119601160128,-3345.5886497994534,6695.177299598907,6705.3557859089615,0,
"(3,3)",t,True,0.014724791769467258,0.9557295276054304,0.9704543193748977,-3323.7947418300473,6651.589483660095,6661.767969970149,0,
"(4,4)",normal,True,0.015097556435378263,0.9541532915664827,0.9692508480018609,-3347.623353249536,6699.246706499072,6709.425192809127,0,
"(4,4)",t,True,0.014878232936502938,0.955515709693409,0.970393942629912,-3323.7457770249275,6651.491554049855,6661.67004035991,0,
"(5,5)",normal,True,0.014870801122405112,0.9559415125178733,0.9708123136402784,-3348.4033191777717,6700.806638355543,6710.985124665598,0,
"(5,5)",t,True,0.014737575801364908,0.9560838972156679,0.9708214730170328,-3324.110243515409,6652.220487030818,6662.3989733408725,0,
"(6,6)",normal,True,0.015221630715839641,0.953973128830814,0.9691947595466536,-3351.4666429829126,6706.933285965825,6717.11177227588,0,
"(6,6)",t,True,0.014511446710181751,0.9562347542583229,0.9707462009685047,-3335.6190924808348,6675.2381849616695,6685.416671271724,0,
