date,ai_electricity,ai_coal,ai_gas,ai_wti,ai_gold,electricity_gas
2020-01-06,3.5621772814665498,3.8360309347996835,5.342179317639562,4.4417417568293205,8.463434575642676,2.047809588581848
2020-01-07,2.9130620403503227,3.185901773506222,3.8699106595822257,3.652374717697887,8.672572370242747,1.0844405106221027
2020-01-08,4.838917808976062,2.608946162583503,18.775460990651556,7.169179732305697,26.427068247753137,16.02122445722472
2020-01-09,5.2701309322743475,-0.19341928695360278,19.001051218681162,5.1140029841590025,26.99008228708941,15.400790468420949
2020-01-10,4.549334964782598,3.774161973942622,18.188202858856574,2.9424687268536394,27.63161244048439,15.232630783502648
2020-01-13,10.865563692016464,9.902626149220994,15.748155239417127,2.725070038848126,30.12255384992527,11.766735545048288
2020-01-14,9.098960184045172,4.320141283976975,20.243194977517238,2.2553777702391558,25.56884582042253,16.886521160699967
2020-01-15,9.892565600134375,7.5944674018671225,24.34330902282907,-1.4173924719376174,15.845510240844964,21.709531034259978
2020-01-16,9.365827075137666,3.067993987690709,21.52629110700547,-0.2671504985513079,13.074996444594705,14.747310585147893
2020-01-17,7.870605282527782,6.061623373968739,22.442185979515376,1.7568743965082874,16.83591267079253,15.665344358654231
2020-01-22,6.9320427010830885,6.403787685682893,22.796161752821188,3.096957625858904,14.21635182324833,16.979409921351614
2020-01-23,3.976510311416609,6.79687032722909,21.850932362686837,3.9272705456794013,19.104647663721522,16.227504065694454
2020-01-24,3.0063241828420404,4.445639089938999,23.166500985643403,8.7816878974697,18.712783282036792,22.977509114387377
2020-01-27,7.930153332123843,1.72470812242968,8.415401679440745,0.16423512371397386,5.785858034986855,15.516077915309337
2020-01-28,2.576169567706532,1.8558185986207787,7.224559685111376,3.016046178121792,17.83456410304321,9.507279677040431
2020-01-29,2.960914311729251,1.7659483003831329,7.363671755172044,2.80576585672076,18.833380113424113,9.754185463078118
2020-01-30,2.8139464604141295,1.8177323934547323,7.305790048264495,3.266925819597341,19.437896898705173,10.911172391744271
2020-01-31,-2.6666443151970087,5.333109180528223,14.394484173584065,5.465053069450628,24.754007672272962,15.891686800823255
2020-02-03,-5.596308159593927,6.670719376102557,10.922986859093125,8.773155883319351,25.51938141948003,17.147555090649764
2020-02-04,-7.3954998277998065,7.395427307043853,11.604115333739601,6.710272517863634,21.55537390767403,16.92447107397219
2020-02-05,0.03603822652898381,0.3524610572577108,6.081870679261465,2.4305566199314397,17.64952781494693,23.11997026733812
2020-02-06,-0.915343108216532,1.4888359508327924,1.3281862170835768,2.258474140174732,17.913289143793122,3.769359874553103
2020-02-07,2.005673836047561,1.7903063989485213,4.203154330092276,-0.09317650892304297,17.410822629295133,5.708695438813264
2020-02-10,0.8614484919065635,2.773352896251857,1.814172941909598,-0.26531103557840274,16.505641321751867,3.109659779533238
2020-02-11,1.1006646201018322,2.7832947472285485,1.7236004318693952,-0.22192464251462318,16.55415145182974,3.079349041246693
2020-02-12,1.0901289511578427,2.5282573372783306,2.499197528624503,1.9074583817541706,15.1877975526274,4.6740527532265785
2020-02-13,0.3979105424099738,2.1339564609632182,5.112618400720535,2.8032157608122303,15.351406405155599,4.682911818412669
2020-02-14,-0.17131440325880432,3.368726014601242,3.7227486381967156,4.785675134176942,16.971116518909813,2.915873735178881
2020-02-19,-0.08929210295888779,2.320487347014044,3.577859944478931,6.332760643592122,16.911588150407347,1.9110900866834066
2020-02-20,1.417011367998633,3.5310857440581103,8.42908728876845,5.60701043250443,15.285752827331708,12.02745136430976
2020-02-21,1.8437281500532865,4.219545291247928,7.892227649806892,3.7315393372132077,15.491329538236007,12.014044809717422
2020-02-24,5.0488677420270385,3.2361818734429475,8.74411795981762,7.367679278684614,11.6460082161969,12.844053089135981
2020-02-25,5.022791565779933,0.5181550822469849,8.538781711638126,9.07792630823753,16.741211277597497,8.884968112234384
2020-02-26,5.633881554512624,8.016553582981267,-0.2355435532584195,10.833063482218716,11.49418128657723,-0.2841552244084493
2020-02-27,-0.43885604121143285,3.368991560092155,4.883889897131138,13.914924722968792,15.786318953540821,6.569446393835629
2020-02-28,5.886005280432391,-1.4728294888166127,9.108722474919272,12.025903906388137,18.54120063666785,11.52674766866916
