variable,arch_sum,arch_sum_se,arch_sum_pvalue,arch_sum_stars,garch_sum,garch_sum_se,garch_sum_pvalue,garch_sum_stars,persistence,persistence_se,persistence_pvalue,persistence_stars
AI,0.29363341779042124,0.355819945319021,0.4092408261544722,,0.6407427436527294,0.4396371586174246,0.1449962403655325,,0.9343761614431507,0.08981520253338963,0.0,***
Electricity,0.29239624838512884,0.20851690124883143,0.16083570434409467,,0.5261978081225605,0.34008138315738384,0.12179809139246811,,0.8185940565076892,0.1402625265217501,5.341872277853099e-09,***
Coal,0.08739997172384854,0.21405820157347163,0.6830534117885987,,0.9037496918322121,0.23172504421736098,9.615494105119637e-05,***,0.9911496635560606,0.020502892262977107,0.0,***
GAS,0.7948063037441337,0.24757714495335062,0.0013257899952499042,***,0.07894159511371279,0.27118674559076517,0.7709772836575475,,0.8737478988578465,0.1700068850141761,2.754919350422824e-07,***
WTI,0.3700224318263615,0.09125464037025617,5.016988659978239e-05,***,0.5193522121892045,0.1161067584800809,7.710901504420775e-06,***,0.8893746440155659,0.05942105235929111,0.0,***
Gold,0.16225236978374524,0.07441223618789504,0.029223912913225014,**,0.6778035363746654,0.14326365648921105,2.232385144962379e-06,***,0.8400559061584106,0.09309878798301989,0.0,***
