burnin_days,n_obs,avg_tci,avg_TO_r_ai,avg_FROM_r_ai,avg_NET_r_ai,avg_TO_r_electricity,avg_FROM_r_electricity,avg_NET_r_electricity,avg_TO_r_coal,avg_FROM_r_coal,avg_NET_r_coal,avg_TO_r_gas,avg_FROM_r_gas,avg_NET_r_gas,avg_TO_r_wti,avg_FROM_r_wti,avg_NET_r_wti,avg_TO_r_gold,avg_FROM_r_gold,avg_NET_r_gold,avg_ai_electricity,avg_ai_coal,avg_ai_gas,avg_ai_wti,avg_ai_gold,delta_vs_0_avg_tci,delta_vs_0_avg_TO_r_ai,delta_vs_0_avg_FROM_r_ai,delta_vs_0_avg_NET_r_ai,delta_vs_0_avg_TO_r_electricity,delta_vs_0_avg_FROM_r_electricity,delta_vs_0_avg_NET_r_electricity,delta_vs_0_avg_TO_r_coal,delta_vs_0_avg_FROM_r_coal,delta_vs_0_avg_NET_r_coal,delta_vs_0_avg_TO_r_gas,delta_vs_0_avg_FROM_r_gas,delta_vs_0_avg_NET_r_gas,delta_vs_0_avg_TO_r_wti,delta_vs_0_avg_FROM_r_wti,delta_vs_0_avg_NET_r_wti,delta_vs_0_avg_TO_r_gold,delta_vs_0_avg_FROM_r_gold,delta_vs_0_avg_NET_r_gold,delta_vs_0_avg_ai_electricity,delta_vs_0_avg_ai_coal,delta_vs_0_avg_ai_gas,delta_vs_0_avg_ai_wti,delta_vs_0_avg_ai_gold
0,1199,24.396180382398743,35.333782539779314,30.416578410804515,4.917204128974793,28.22003435218558,26.523304941481236,1.6967294107043436,32.32255311783015,29.48014127949522,2.8424118383349195,9.55790611635146,13.541070546270763,-3.9831644299193036,21.520658750932757,23.370479823905445,-1.849821072972685,19.422147417313212,23.045507292435286,-3.623359875122066,0.24884001253424337,0.7032701733557115,1.4369109956734285,0.9635891872048684,1.5645937602065412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1179,23.676535343436257,34.04215578603219,29.834943347072105,4.207212438960084,27.124598124955334,25.987871758722672,1.1367263662326603,31.383755001479788,28.96344805229739,2.4203069491823963,9.327260053620666,12.394901982960606,-3.067641929339943,20.594725837017503,22.76590951690523,-2.171183679887726,19.586717257512063,22.112137402659535,-2.5254201451474714,0.18286210483640522,0.6402482643914176,1.20299553673044,0.9168477674197536,1.2642587655820674,-0.7196450389624864,-1.2916267537471242,-0.5816350637324099,-0.7099916900147099,-1.0954362272302447,-0.5354331827585632,-0.5600030444716833,-0.9387981163503589,-0.5166932271978304,-0.4221048891525232,-0.23064606273079313,-1.146168563310157,0.9155225005793608,-0.9259329139152541,-0.6045703070002162,-0.32136260691504126,0.16456984019885113,-0.9333698897757507,1.0979397299745948,-0.06597790769783815,-0.06302190896429394,-0.2339154589429886,-0.04674141978511481,-0.3003349946244738
30,1169,23.39918478171542,33.61985458518872,29.597851637357408,4.022002947831311,26.622314500002197,25.77847632065164,0.8438381793505572,31.170235281430298,28.645817359353074,2.524417922077217,9.257578693462419,12.148359606486304,-2.8907809130238826,20.15288718465233,22.53249890799234,-2.3796117233400116,19.57223844555657,21.69210485845176,-2.1198664128951914,0.179522237108986,0.6259896832874653,1.1803586325099942,0.902838989616732,1.133293405308134,-0.9969956006833236,-1.713927954590595,-0.8187267734471071,-0.8952011811434826,-1.5977198521833813,-0.744828620829594,-0.8528912313537864,-1.152317836399849,-0.8343239201421468,-0.31799391625770257,-0.30032742288904046,-1.3927109397844593,1.092383516895421,-1.3677715662804282,-0.8379809159131035,-0.5297906503673266,0.1500910282433594,-1.3534024339835256,1.5034934622268747,-0.06931777542525738,-0.07728049006824622,-0.2565523631634343,-0.06075019758813638,-0.4313003548984071
50,1149,22.76169126075769,32.57981851252661,28.99332632880375,3.5864921837228496,25.800595049475643,25.139396745095354,0.6611983043802883,30.647724254965325,28.202967712583103,2.444756542382228,8.852929217392012,11.51370931270716,-2.660780095315149,19.120201497539274,21.890841352069693,-2.7706398545304167,19.568879032647274,20.829906113287073,-1.2610270806398,0.12493633297922442,0.5942029695293126,1.1042471219348309,0.8405005173145911,0.9226052419648909,-1.634489121641053,-2.7539640272527066,-1.423252082000765,-1.3307119452519438,-2.419439302709936,-1.3839081963858817,-1.0355311063240553,-1.6748288628648211,-1.2771735669121185,-0.39765529595269156,-0.7049768989594476,-2.027361233563603,1.3223843346041546,-2.4004572533934834,-1.4796384718357523,-0.9208187815577318,0.14673161533406187,-2.215601179148212,2.362332794482266,-0.12390367955501895,-0.1090672038263989,-0.3326638737385976,-0.12308866989027734,-0.6419885182416503
