Variable,Mean,Std. Dev.,Skewness,Kurtosis,JB Statistic,JB p-value
AI,0.053477,1.852081,-0.429689,4.669381,1115.613239,0.000000
ELEC,0.030088,1.506165,-0.158865,13.798800,9439.436197,0.000000
COAL,0.116886,3.532186,-0.035119,4.112825,836.942576,0.000000
GAS,0.044734,9.015229,2.597482,73.430204,268669.848201,0.000000
WTI,0.112582,3.759035,1.238046,34.907561,60709.234365,0.000000
GOLD,0.047908,0.975821,-0.454762,2.844356,441.002474,0.000000
