Variable,ADF Statistic,ADF p-value,ARCH-LM Statistic,ARCH-LM p-value
AI,-10.9010,0.0000,314.4413,0.0000
Electricity,-10.8120,0.0000,537.1983,0.0000
Coal,-23.2054,0.0000,200.4889,0.0000
Gas,-18.7823,0.0000,421.1243,0.0000
WTI,-6.4929,0.0000,305.7405,0.0000
Gold,-25.9036,0.0000,54.8006,0.0000
