Variable,Mean,Std. Dev.,Skewness,Kurtosis,Jarque-Bera Statistic,Jarque-Bera p-value
AI,0.0004,0.0185,-0.4254,4.5594,1107.6355,0.0000
Electricity,0.0002,0.0150,-0.1599,13.5707,9498.5582,0.0000
Coal,0.0010,0.0354,-0.0559,3.8989,782.8723,0.0000
Gas,0.0003,0.1008,-0.1371,75.9821,297778.6053,0.0000
WTI,0.0007,0.0374,1.1908,34.2449,60771.1414,0.0000
Gold,0.0004,0.0098,-0.4598,2.7226,424.8819,0.0000
